Fecha;Posicion;Interes Abierto
2021-03-22;2021-11-30;85303
2021-03-22;2021-12-31;37048
2021-03-22;2022-01-31;9521
2021-03-19;2021-08-31;107377
2021-03-19;2021-09-30;71556
2021-03-19;2021-10-31;36447
2021-03-19;2021-11-30;85303
2021-03-19;2021-12-31;38021
2021-03-19;2022-01-31;9521
2021-03-18;2021-08-31;107774
2021-03-18;2021-09-30;66753
2021-03-18;2021-10-31;41261
2021-03-18;2021-11-30;57553
2021-03-18;2021-12-31;35926
2021-03-18;2022-01-31;9521
2021-03-17;2021-08-31;110313
2021-03-17;2021-09-30;61929
2021-03-17;2021-10-31;38790
2021-03-17;2021-11-30;49353
2021-03-17;2021-12-31;34910
2021-03-17;2022-01-31;9520
2021-03-16;2021-08-31;110602
2021-03-16;2021-09-30;57249
2021-03-16;2021-10-31;32030
2021-03-16;2021-11-30;45436
2021-03-16;2021-12-31;31930
2021-03-16;2022-01-31;8768
2021-03-15;2021-08-31;108658
2021-03-15;2021-09-30;46185
2021-03-15;2021-10-31;32030
2021-03-15;2021-11-30;38423
2021-03-15;2021-12-31;31627
2021-03-15;2022-01-31;8768
2021-03-12;2021-08-31;103935
2021-03-12;2021-09-30;49088
2021-03-12;2021-10-31;30804
2021-03-12;2021-11-30;31395
2021-03-12;2021-12-31;31527
2021-03-12;2022-01-31;8768
2021-03-11;2021-08-31;103935
2021-03-11;2021-09-30;48988
2021-03-11;2021-10-31;30782
2021-03-11;2021-11-30;31395
2021-03-11;2021-12-31;31527
2021-03-11;2022-01-31;8768
2021-03-10;2021-08-31;98420
2021-03-10;2021-09-30;40810
2021-03-10;2021-10-31;30782
2021-03-10;2021-11-30;25360
2021-03-10;2021-12-31;26396
2021-03-10;2022-01-31;7167
2021-03-09;2021-08-31;101283
2021-03-09;2021-09-30;40795
2021-03-09;2021-10-31;31792
2021-03-09;2021-11-30;23360
2021-03-09;2021-12-31;25883
2021-03-09;2022-01-31;12165
2021-03-08;2021-08-31;88991
2021-03-08;2021-09-30;40794
2021-03-08;2021-10-31;31841
2021-03-08;2021-11-30;17309
2021-03-08;2021-12-31;25228
2021-03-08;2022-01-31;12163
2021-03-05;2021-08-31;88732
2021-03-05;2021-09-30;40794
2021-03-05;2021-10-31;31956
2021-03-05;2021-11-30;16071
2021-03-05;2021-12-31;22856
2021-03-05;2022-01-31;7166
2021-03-04;2021-08-31;88178
2021-03-04;2021-09-30;40783
2021-03-04;2021-10-31;31936
2021-03-04;2021-11-30;16071
2021-03-04;2021-12-31;22856
2021-03-04;2022-01-31;7166
2021-03-03;2021-08-31;73406
