"Fecha","Total","Personales","Tarjetas","Adelantos","Hipotecarios","Prendarios","Otros","Documentos"
2019-01-17,15630,7,336,399,359,427,1669,12433
2019-01-18,15640,7,350,401,359,427,1660,12436
2019-01-21,15640,7,360,398,360,424,1663,12428
2019-01-22,15668,7,380,398,361,425,1659,12438
2019-01-23,15709,7,392,399,360,425,1657,12469
2019-01-24,15711,7,391,399,366,426,1651,12471
2019-01-25,15742,7,405,398,366,430,1648,12488
2019-01-28,15711,7,404,400,366,431,1644,12459
2019-01-29,15713,7,415,400,366,424,1645,12456
2019-01-30,15710,7,432,400,367,421,1642,12441
2019-01-31,15680,7,420,399,367,424,1617,12446
2019-02-01,15721,7,434,399,367,427,1651,12436
2019-02-04,15651,7,396,399,367,426,1643,12413
2019-02-05,15673,7,412,399,368,427,1643,12417
2019-02-06,15714,7,401,400,368,425,1643,12470
2019-02-07,15700,7,391,398,368,421,1641,12474
2019-02-08,15753,7,397,399,368,423,1650,12509
2019-02-11,15769,7,369,398,369,416,1725,12485
2019-02-12,15797,7,361,397,369,430,1725,12508
2019-02-13,15782,7,339,401,368,428,1718,12521
2019-02-14,15782,7,342,401,368,426,1679,12559
2019-02-15,15748,7,335,399,368,426,1681,12532
2019-02-18,15763,7,340,399,368,423,1688,12538
2019-02-19,15803,7,365,364,368,419,1683,12597
2019-02-20,15814,7,373,364,368,414,1680,12608
2019-02-21,15812,7,366,364,368,418,1664,12625
2019-02-22,15746,7,377,365,368,421,1584,12624
